State,State_Abbr,Status,date
Alabama,AL,No order,2020-10-23
Alaska,AK,No order,2020-10-23
Arizona,AZ,No order,2020-10-23
Arkansas,AR,Ordered open,2020-10-23
California,CA,Partial closure,2020-10-23
Colorado,CO,No order,2020-10-23
Connecticut,CT,No order,2020-10-23
Delaware,DE,Partial closure,2020-10-23
District of Columbia,DC,Full closure,2020-10-23
Florida,FL,Ordered open,2020-10-23
Georgia,GA,No order,2020-10-23
Hawaii,HI,Partial closure,2020-10-23
Idaho,ID,No order,2020-10-23
Illinois,IL,No order,2020-10-23
Indiana,IN,No order,2020-10-23
Iowa,IA,Ordered open,2020-10-23
Kansas,KS,No order,2020-10-23
Kentucky,KY,No order,2020-10-23
Louisiana,LA,No order,2020-10-23
Maine,ME,No order,2020-10-23
Maryland,MD,No order,2020-10-23
Massachusetts,MA,No order,2020-10-23
Michigan,MI,No order,2020-10-23
Minnesota,MN,No order,2020-10-23
Mississippi,MS,No order,2020-10-23
Missouri,MO,No order,2020-10-23
Montana,MT,No order,2020-10-23
Nebraska,NE,No order,2020-10-23
Nevada,NV,No order,2020-10-23
New Hampshire,NH,No order,2020-10-23
New Jersey,NJ,No order,2020-10-23
New Mexico,NM,Partial closure,2020-10-23
New York,NY,No order,2020-10-23
North Carolina,NC,Partial closure,2020-10-23
North Dakota,ND,No order,2020-10-23
Ohio,OH,No order,2020-10-23
Oklahoma,OK,No order,2020-10-23
Oregon,OR,Partial closure,2020-10-23
Pennsylvania,PA,No order,2020-10-23
Puerto Rico,PR,Full closure,2020-10-23
Rhode Island,RI,No order,2020-10-23
South Carolina,SC,No order,2020-10-23
South Dakota,SD,No order,2020-10-23
Tennessee,TN,No order,2020-10-23
Texas,TX,Ordered open,2020-10-23
Utah,UT,No order,2020-10-23
Vermont,VT,No order,2020-10-23
Virginia,VA,No order,2020-10-23
Washington,WA,No order,2020-10-23
West Virginia,WV,Partial closure,2020-10-23
Wisconsin,WI,No order,2020-10-23
Wyoming,WY,No order,2020-10-23
Alabama,AL,No order,2020-10-16
Alaska,AK,No order,2020-10-16
Arizona,AZ,No order,2020-10-16
Arkansas,AR,Ordered open,2020-10-16
California,CA,Partial closure,2020-10-16
Colorado,CO,No order,2020-10-16
Connecticut,CT,No order,2020-10-16
Delaware,DE,Partial closure,2020-10-16
District of Columbia,DC,Full closure,2020-10-16
Florida,FL,Ordered open,2020-10-16
Georgia,GA,No order,2020-10-16
Hawaii,HI,Partial closure,2020-10-16
Idaho,ID,No order,2020-10-16
Illinois,IL,No order,2020-10-16
Indiana,IN,No order,2020-10-16
Iowa,IA,Ordered open,2020-10-16
Kansas,KS,No order,2020-10-16
Kentucky,KY,No order,2020-10-16
Louisiana,LA,No order,2020-10-16
Maine,ME,No order,2020-10-16
Maryland,MD,No order,2020-10-16
Massachusetts,MA,No order,2020-10-16
Michigan,MI,No order,2020-10-16
Minnesota,MN,No order,2020-10-16
Mississippi,MS,No order,2020-10-16
Missouri,MO,No order,2020-10-16
Montana,MT,No order,2020-10-16
Nebraska,NE,No order,2020-10-16
Nevada,NV,No order,2020-10-16
New Hampshire,NH,No order,2020-10-16
New Jersey,NJ,No order,2020-10-16
New Mexico,NM,Partial closure,2020-10-16
New York,NY,No order,2020-10-16
North Carolina,NC,Partial closure,2020-10-16
North Dakota,ND,No order,2020-10-16
Ohio,OH,No order,2020-10-16
Oklahoma,OK,No order,2020-10-16
Oregon,OR,Partial closure,2020-10-16
Pennsylvania,PA,No order,2020-10-16
Puerto Rico,PR,Full closure,2020-10-16
Rhode Island,RI,No order,2020-10-16
South Carolina,SC,No order,2020-10-16
South Dakota,SD,No order,2020-10-16
Tennessee,TN,No order,2020-10-16
Texas,TX,Ordered open,2020-10-16
Utah,UT,No order,2020-10-16
Vermont,VT,No order,2020-10-16
Virginia,VA,No order,2020-10-16
Washington,WA,No order,2020-10-16
West Virginia,WV,Partial closure,2020-10-16
Wisconsin,WI,No order,2020-10-16
Wyoming,WY,No order,2020-10-16
Alabama,AL,No order,2020-10-09
Alaska,AK,No order,2020-10-09
Arizona,AZ,No order,2020-10-09
Arkansas,AR,Ordered open,2020-10-09
California,CA,Partial closure,2020-10-09
Colorado,CO,No order,2020-10-09
Connecticut,CT,No order,2020-10-09
Delaware,DE,Partial closure,2020-10-09
District of Columbia,DC,Full closure,2020-10-09
Florida,FL,Ordered open,2020-10-09
Georgia,GA,No order,2020-10-09
Hawaii,HI,Partial closure,2020-10-09
Idaho,ID,No order,2020-10-09
Illinois,IL,No order,2020-10-09
Indiana,IN,No order,2020-10-09
Iowa,IA,Ordered open,2020-10-09
Kansas,KS,No order,2020-10-09
Kentucky,KY,No order,2020-10-09
Louisiana,LA,No order,2020-10-09
Maine,ME,No order,2020-10-09
Maryland,MD,No order,2020-10-09
Massachusetts,MA,No order,2020-10-09
Michigan,MI,No order,2020-10-09
Minnesota,MN,No order,2020-10-09
Mississippi,MS,No order,2020-10-09
Missouri,MO,No order,2020-10-09
Montana,MT,No order,2020-10-09
Nebraska,NE,No order,2020-10-09
Nevada,NV,No order,2020-10-09
New Hampshire,NH,No order,2020-10-09
New Jersey,NJ,No order,2020-10-09
New Mexico,NM,Partial closure,2020-10-09
New York,NY,No order,2020-10-09
North Carolina,NC,Partial closure,2020-10-09
North Dakota,ND,No order,2020-10-09
Ohio,OH,No order,2020-10-09
Oklahoma,OK,No order,2020-10-09
Oregon,OR,Partial closure,2020-10-09
Pennsylvania,PA,No order,2020-10-09
Puerto Rico,PR,Full closure,2020-10-09
Rhode Island,RI,No order,2020-10-09
South Carolina,SC,No order,2020-10-09
South Dakota,SD,No order,2020-10-09
Tennessee,TN,No order,2020-10-09
Texas,TX,Ordered open,2020-10-09
Utah,UT,No order,2020-10-09
Vermont,VT,No order,2020-10-09
Virginia,VA,No order,2020-10-09
Washington,WA,No order,2020-10-09
West Virginia,WV,Partial closure,2020-10-09
Wisconsin,WI,No order,2020-10-09
Wyoming,WY,No order,2020-10-09
Alabama,AL,No order,2020-10-05
Alaska,AK,No order,2020-10-05
Arizona,AZ,No order,2020-10-05
Arkansas,AR,Ordered open,2020-10-05
California,CA,Partial closure,2020-10-05
Colorado,CO,No order,2020-10-05
Connecticut,CT,No order,2020-10-05
Delaware,DE,Partial closure,2020-10-05
District of Columbia,DC,Full closure,2020-10-05
Florida,FL,Ordered open,2020-10-05
Georgia,GA,No order,2020-10-05
Hawaii,HI,Partial closure,2020-10-05
Idaho,ID,No order,2020-10-05
Illinois,IL,No order,2020-10-05
Indiana,IN,No order,2020-10-05
Iowa,IA,Ordered open,2020-10-05
Kansas,KS,No order,2020-10-05
Kentucky,KY,No order,2020-10-05
Louisiana,LA,No order,2020-10-05
Maine,ME,No order,2020-10-05
Maryland,MD,No order,2020-10-05
Massachusetts,MA,No order,2020-10-05
Michigan,MI,No order,2020-10-05
Minnesota,MN,No order,2020-10-05
Mississippi,MS,No order,2020-10-05
Missouri,MO,No order,2020-10-05
Montana,MT,No order,2020-10-05
Nebraska,NE,No order,2020-10-05
Nevada,NV,No order,2020-10-05
New Hampshire,NH,No order,2020-10-05
New Jersey,NJ,No order,2020-10-05
New Mexico,NM,Partial closure,2020-10-05
New York,NY,No order,2020-10-05
North Carolina,NC,Partial closure,2020-10-05
North Dakota,ND,No order,2020-10-05
Ohio,OH,No order,2020-10-05
Oklahoma,OK,No order,2020-10-05
Oregon,OR,Partial closure,2020-10-05
Pennsylvania,PA,No order,2020-10-05
Puerto Rico,PR,Full closure,2020-10-05
Rhode Island,RI,No order,2020-10-05
South Carolina,SC,No order,2020-10-05
South Dakota,SD,No order,2020-10-05
Tennessee,TN,No order,2020-10-05
Texas,TX,Ordered open,2020-10-05
Utah,UT,No order,2020-10-05
Vermont,VT,No order,2020-10-05
Virginia,VA,No order,2020-10-05
Washington,WA,No order,2020-10-05
West Virginia,WV,Partial closure,2020-10-05
Wisconsin,WI,No order,2020-10-05
Wyoming,WY,No order,2020-10-05
Alabama,AL,Varies by school/district/dependent on local health authorities,2020-10-02
Alaska,AK,Varies by school/district/dependent on local health authorities,2020-10-02
Arizona,AZ,Varies by school/district/dependent on local health authorities,2020-10-02
Arkansas,AR,State-ordered in-person instruction available part-time or full-time*,2020-10-02
California,CA,State-ordered regional closure in effect,2020-10-02
Colorado,CO,Varies by school/district/dependent on local health authorities,2020-10-02
Connecticut,CT,Varies by school/district/dependent on local health authorities,2020-10-02
Delaware,DE,Only hybrid or remote instruction allowed,2020-10-02
District of Columbia,DC,State ordered closure in effect (including states where openings are delayed),2020-10-02
Florida,FL,State-ordered in-person instruction available part-time or full-time*,2020-10-02
Georgia,GA,Varies by school/district/dependent on local health authorities,2020-10-02
Hawaii,HI,State-ordered regional closure in effect,2020-10-02
Idaho,ID,Varies by school/district/dependent on local health authorities,2020-10-02
Illinois,IL,Varies by school/district/dependent on local health authorities,2020-10-02
Indiana,IN,Varies by school/district/dependent on local health authorities,2020-10-02
Iowa,IA,State-ordered in-person instruction available part-time or full-time*,2020-10-02
Kansas,KS,Varies by school/district/dependent on local health authorities,2020-10-02
Kentucky,KY,Varies by school/district/dependent on local health authorities,2020-10-02
Louisiana,LA,Varies by school/district/dependent on local health authorities,2020-10-02
Maine,ME,Varies by school/district/dependent on local health authorities,2020-10-02
Maryland,MD,Varies by school/district/dependent on local health authorities,2020-10-02
Massachusetts,MA,Varies by school/district/dependent on local health authorities,2020-10-02
Michigan,MI,Varies by school/district/dependent on local health authorities,2020-10-02
Minnesota,MN,Varies by school/district/dependent on local health authorities,2020-10-02
Mississippi,MS,Varies by school/district/dependent on local health authorities,2020-10-02
Missouri,MO,Varies by school/district/dependent on local health authorities,2020-10-02
Montana,MT,Varies by school/district/dependent on local health authorities,2020-10-02
Nebraska,NE,Varies by school/district/dependent on local health authorities,2020-10-02
Nevada,NV,Varies by school/district/dependent on local health authorities,2020-10-02
New Hampshire,NH,Varies by school/district/dependent on local health authorities,2020-10-02
New Jersey,NJ,Varies by school/district/dependent on local health authorities,2020-10-02
New Mexico,NM,State-ordered regional closure in effect,2020-10-02
New York,NY,Varies by school/district/dependent on local health authorities,2020-10-02
North Carolina,NC,Only hybrid or remote instruction allowed,2020-10-02
North Dakota,ND,Varies by school/district/dependent on local health authorities,2020-10-02
Ohio,OH,Varies by school/district/dependent on local health authorities,2020-10-02
Oklahoma,OK,Varies by school/district/dependent on local health authorities,2020-10-02
Oregon,OR,State-ordered regional closure in effect,2020-10-02
Pennsylvania,PA,Varies by school/district/dependent on local health authorities,2020-10-02
Puerto Rico,PR,State ordered closure in effect (including states where openings are delayed),2020-10-02
Rhode Island,RI,Varies by school/district/dependent on local health authorities,2020-10-02
South Carolina,SC,Varies by school/district/dependent on local health authorities,2020-10-02
South Dakota,SD,Varies by school/district/dependent on local health authorities,2020-10-02
Tennessee,TN,Varies by school/district/dependent on local health authorities,2020-10-02
Texas,TX,State-ordered in-person instruction available part-time or full-time*,2020-10-02
Utah,UT,Varies by school/district/dependent on local health authorities,2020-10-02
Vermont,VT,Varies by school/district/dependent on local health authorities,2020-10-02
Virginia,VA,Varies by school/district/dependent on local health authorities,2020-10-02
Washington,WA,Varies by school/district/dependent on local health authorities,2020-10-02
West Virginia,WV,State-ordered regional closure in effect,2020-10-02
Wisconsin,WI,Varies by school/district/dependent on local health authorities,2020-10-02
Wyoming,WY,Varies by school/district/dependent on local health authorities,2020-10-02
Alabama,AL,Varies by school/district/dependent on local health authorities,2020-09-25
Alaska,AK,Varies by school/district/dependent on local health authorities,2020-09-25
