"age","cum.deaths","daily.deaths","code","date"
"0-19",1,NA,"AZ","2020-05-13"
"20-44",21,NA,"AZ","2020-05-13"
"45-54",29,NA,"AZ","2020-05-13"
"55-64",68,NA,"AZ","2020-05-13"
"65+",475,NA,"AZ","2020-05-13"
"0-19",1,0,"AZ","2020-05-14"
"20-44",24,3,"AZ","2020-05-14"
"45-54",31,2,"AZ","2020-05-14"
"55-64",71,3,"AZ","2020-05-14"
"65+",497,22,"AZ","2020-05-14"
"0-19",1,0,"AZ","2020-05-15"
"20-44",25,1,"AZ","2020-05-15"
"45-54",33,2,"AZ","2020-05-15"
"55-64",74,3,"AZ","2020-05-15"
"65+",518,21,"AZ","2020-05-15"
"0-19",1,0,"AZ","2020-05-16"
"20-44",26,1,"AZ","2020-05-16"
"45-54",33,0,"AZ","2020-05-16"
"55-64",77,3,"AZ","2020-05-16"
"65+",542,24,"AZ","2020-05-16"
"0-19",1,0,"AZ","2020-05-17"
"20-44",26,0,"AZ","2020-05-17"
"45-54",33,0,"AZ","2020-05-17"
"55-64",77,0,"AZ","2020-05-17"
"65+",543,1,"AZ","2020-05-17"
"0-19",1,0,"AZ","2020-05-18"
"20-44",26,0,"AZ","2020-05-18"
"45-54",33,0,"AZ","2020-05-18"
"55-64",78,1,"AZ","2020-05-18"
"65+",548,5,"AZ","2020-05-18"
"0-19",1,0,"AZ","2020-05-19"
"20-44",28,2,"AZ","2020-05-19"
"45-54",36,3,"AZ","2020-05-19"
"55-64",79,1,"AZ","2020-05-19"
"65+",560,12,"AZ","2020-05-19"
"0-19",2,1,"AZ","2020-05-20"
"20-44",28,0,"AZ","2020-05-20"
"45-54",37,1,"AZ","2020-05-20"
"55-64",87,8,"AZ","2020-05-20"
"65+",593,33,"AZ","2020-05-20"
"0-19",2,0,"AZ","2020-05-21"
"20-44",28,0,"AZ","2020-05-21"
"45-54",38,1,"AZ","2020-05-21"
"55-64",93,6,"AZ","2020-05-21"
"65+",602,9,"AZ","2020-05-21"
"0-19",2,0,"AZ","2020-05-22"
"20-44",31,3,"AZ","2020-05-22"
"45-54",40,2,"AZ","2020-05-22"
"55-64",94,1,"AZ","2020-05-22"
"65+",608,6,"AZ","2020-05-22"
"0-19",2,0,"AZ","2020-05-23"
"20-44",34,3,"AZ","2020-05-23"
"45-54",41,1,"AZ","2020-05-23"
"55-64",95,1,"AZ","2020-05-23"
"65+",626,18,"AZ","2020-05-23"
"0-19",2,0,"AZ","2020-05-24"
"20-44",34,0,"AZ","2020-05-24"
"45-54",41,0,"AZ","2020-05-24"
"55-64",95,0,"AZ","2020-05-24"
"65+",628,2,"AZ","2020-05-24"
"0-19",2,0,"AZ","2020-05-25"
"20-44",35,1,"AZ","2020-05-25"
"45-54",41,0,"AZ","2020-05-25"
"55-64",95,0,"AZ","2020-05-25"
"65+",632,4,"AZ","2020-05-25"
"0-19",2,0,"AZ","2020-05-26"
"20-44",36,1,"AZ","2020-05-26"
"45-54",41,0,"AZ","2020-05-26"
"55-64",95,0,"AZ","2020-05-26"
"65+",633,1,"AZ","2020-05-26"
"0-19",2,0,"AZ","2020-05-27"
"20-44",36,0,"AZ","2020-05-27"
"45-54",43,2,"AZ","2020-05-27"
"55-64",99,4,"AZ","2020-05-27"
"65+",651,18,"AZ","2020-05-27"
"0-19",2,0,"AZ","2020-05-28"
"20-44",39,3,"AZ","2020-05-28"
"45-54",43,0,"AZ","2020-05-28"
"55-64",103,4,"AZ","2020-05-28"
"65+",670,19,"AZ","2020-05-28"
"0-19",2,0,"AZ","2020-05-29"
"20-44",41,2,"AZ","2020-05-29"
"45-54",44,1,"AZ","2020-05-29"
"55-64",108,5,"AZ","2020-05-29"
"65+",690,20,"AZ","2020-05-29"
"0-19",2,0,"AZ","2020-05-30"
"20-44",42,1,"AZ","2020-05-30"
"45-54",45,1,"AZ","2020-05-30"
"55-64",109,1,"AZ","2020-05-30"
"65+",705,15,"AZ","2020-05-30"
"0-19",2,0,"AZ","2020-05-31"
"20-44",43,1,"AZ","2020-05-31"
"45-54",46,1,"AZ","2020-05-31"
"55-64",110,1,"AZ","2020-05-31"
"65+",705,0,"AZ","2020-05-31"
"0-19",2,0,"AZ","2020-06-01"
"20-44",44,1,"AZ","2020-06-01"
"45-54",47,1,"AZ","2020-06-01"
"55-64",110,0,"AZ","2020-06-01"
"65+",714,9,"AZ","2020-06-01"
"0-19",2,0,"AZ","2020-06-02"
"20-44",45,1,"AZ","2020-06-02"
"45-54",49,2,"AZ","2020-06-02"
"55-64",114,4,"AZ","2020-06-02"
"65+",731,17,"AZ","2020-06-02"
"0-19",2,0,"AZ","2020-06-03"
"20-44",47,2,"AZ","2020-06-03"
"45-54",56,7,"AZ","2020-06-03"
"55-64",117,3,"AZ","2020-06-03"
"65+",759,28,"AZ","2020-06-03"
"0-19",2,0,"AZ","2020-06-04"
"20-44",48,1,"AZ","2020-06-04"
"45-54",57,1,"AZ","2020-06-04"
"55-64",118,1,"AZ","2020-06-04"
"65+",771,12,"AZ","2020-06-04"
"0-19",2,0,"AZ","2020-06-05"
"20-44",49,1,"AZ","2020-06-05"
"45-54",58,1,"AZ","2020-06-05"
"55-64",121,3,"AZ","2020-06-05"
"65+",782,11,"AZ","2020-06-05"
"0-19",2,0,"AZ","2020-06-06"
"20-44",51,2,"AZ","2020-06-06"
"45-54",60,2,"AZ","2020-06-06"
"55-64",124,3,"AZ","2020-06-06"
"65+",805,23,"AZ","2020-06-06"
"0-19",2,0,"AZ","2020-06-07"
"20-44",52,1,"AZ","2020-06-07"
"45-54",60,0,"AZ","2020-06-07"
"55-64",124,0,"AZ","2020-06-07"
"65+",806,1,"AZ","2020-06-07"
"0-19",2,0,"AZ","2020-06-08"
"20-44",52,0,"AZ","2020-06-08"
"45-54",61,1,"AZ","2020-06-08"
"55-64",124,0,"AZ","2020-06-08"
"65+",808,2,"AZ","2020-06-08"
"0-19",2,0,"AZ","2020-06-09"
"20-44",52,0,"AZ","2020-06-09"
"45-54",62,1,"AZ","2020-06-09"
"55-64",131,7,"AZ","2020-06-09"
"65+",823,15,"AZ","2020-06-09"
"0-19",2,0,"AZ","2020-06-10"
"20-44",52,0,"AZ","2020-06-10"
"45-54",66,4,"AZ","2020-06-10"
"55-64",134,3,"AZ","2020-06-10"
"65+",841,18,"AZ","2020-06-10"
"0-19",3,1,"AZ","2020-06-11"
"20-44",53,1,"AZ","2020-06-11"
"45-54",69,3,"AZ","2020-06-11"
"55-64",142,8,"AZ","2020-06-11"
"65+",860,19,"AZ","2020-06-11"
"0-19",3,0,"AZ","2020-06-12"
"20-44",54,1,"AZ","2020-06-12"
"45-54",70,1,"AZ","2020-06-12"
"55-64",145,3,"AZ","2020-06-12"
"65+",872,12,"AZ","2020-06-12"
"0-19",4,1,"AZ","2020-06-13"
"20-44",57,3,"AZ","2020-06-13"
"45-54",72,2,"AZ","2020-06-13"
"55-64",154,9,"AZ","2020-06-13"
"65+",896,24,"AZ","2020-06-13"
"0-19",4,0,"AZ","2020-06-14"
"20-44",58,1,"AZ","2020-06-14"
"45-54",72,0,"AZ","2020-06-14"
"55-64",154,0,"AZ","2020-06-14"
"65+",898,2,"AZ","2020-06-14"
"0-19",4,0,"AZ","2020-06-15"
"20-44",58,0,"AZ","2020-06-15"
"45-54",73,1,"AZ","2020-06-15"
"55-64",156,2,"AZ","2020-06-15"
"65+",903,5,"AZ","2020-06-15"
"0-19",4,0,"AZ","2020-06-16"
"20-44",62,4,"AZ","2020-06-16"
"45-54",74,1,"AZ","2020-06-16"
"55-64",159,3,"AZ","2020-06-16"
"65+",920,17,"AZ","2020-06-16"
"0-19",4,0,"AZ","2020-06-17"
"20-44",63,1,"AZ","2020-06-17"
"45-54",75,1,"AZ","2020-06-17"
"55-64",164,5,"AZ","2020-06-17"
"65+",933,13,"AZ","2020-06-17"
"0-19",5,1,"AZ","2020-06-18"
"20-44",64,1,"AZ","2020-06-18"
"45-54",75,0,"AZ","2020-06-18"
"55-64",171,7,"AZ","2020-06-18"
"65+",956,23,"AZ","2020-06-18"
"0-19",6,1,"AZ","2020-06-19"
"20-44",67,3,"AZ","2020-06-19"
"45-54",82,7,"AZ","2020-06-19"
"55-64",173,2,"AZ","2020-06-19"
"65+",984,28,"AZ","2020-06-19"
"0-19",6,0,"AZ","2020-06-20"
"20-44",70,3,"AZ","2020-06-20"
"45-54",82,0,"AZ","2020-06-20"
"55-64",173,0,"AZ","2020-06-20"
"65+",1007,23,"AZ","2020-06-20"
"0-19",6,0,"AZ","2020-06-21"
"20-44",70,0,"AZ","2020-06-21"
"45-54",82,0,"AZ","2020-06-21"
"55-64",173,0,"AZ","2020-06-21"
"65+",1008,1,"AZ","2020-06-21"
"0-19",6,0,"AZ","2020-06-22"
"20-44",70,0,"AZ","2020-06-22"
"45-54",82,0,"AZ","2020-06-22"
"55-64",173,0,"AZ","2020-06-22"
"65+",1011,3,"AZ","2020-06-22"
"0-19",6,0,"AZ","2020-06-23"
"20-44",72,2,"AZ","2020-06-23"
"45-54",84,2,"AZ","2020-06-23"
"55-64",178,5,"AZ","2020-06-23"
"65+",1044,33,"AZ","2020-06-23"
"0-19",6,0,"AZ","2020-06-24"
"20-44",76,4,"AZ","2020-06-24"
"45-54",91,7,"AZ","2020-06-24"
"55-64",194,16,"AZ","2020-06-24"
"65+",1096,52,"AZ","2020-06-24"
"0-19",6,0,"AZ","2020-06-25"
"20-44",77,1,"AZ","2020-06-25"
"45-54",92,1,"AZ","2020-06-25"
"55-64",197,3,"AZ","2020-06-25"
"65+",1118,22,"AZ","2020-06-25"
"0-19",6,0,"AZ","2020-06-26"
"20-44",80,3,"AZ","2020-06-26"
"45-54",98,6,"AZ","2020-06-26"
"55-64",204,7,"AZ","2020-06-26"
"65+",1147,29,"AZ","2020-06-26"
"0-19",6,0,"AZ","2020-06-27"
"20-44",83,3,"AZ","2020-06-27"
"45-54",105,7,"AZ","2020-06-27"
"55-64",211,7,"AZ","2020-06-27"
"65+",1174,27,"AZ","2020-06-27"
"0-19",6,0,"AZ","2020-06-28"
"20-44",84,1,"AZ","2020-06-28"
"45-54",107,2,"AZ","2020-06-28"
"55-64",211,0,"AZ","2020-06-28"
"65+",1180,6,"AZ","2020-06-28"
"0-19",6,0,"AZ","2020-06-29"
"20-44",87,4,"AZ","2020-06-29"
"45-54",107,0,"AZ","2020-06-29"
"55-64",215,4,"AZ","2020-06-29"
"65+",1194,15,"AZ","2020-06-29"
"0-19",6,0,"AZ","2020-06-30"
"20-44",91,3,"AZ","2020-06-30"
"45-54",107,0,"AZ","2020-06-30"
"55-64",219,4,"AZ","2020-06-30"
"65+",1209,14,"AZ","2020-06-30"
"0-19",7,1,"AZ","2020-07-01"
"20-44",95,4,"AZ","2020-07-01"
"45-54",113,6,"AZ","2020-07-01"
"55-64",232,13,"AZ","2020-07-01"
"65+",1273,64,"AZ","2020-07-01"
"0-19",8,1,"AZ","2020-07-02"
"20-44",99,4,"AZ","2020-07-02"
"45-54",118,5,"AZ","2020-07-02"
"55-64",241,9,"AZ","2020-07-02"
"65+",1291,18,"AZ","2020-07-02"
"0-19",8,0,"AZ","2020-07-03"
"20-44",103,4,"AZ","2020-07-03"
"45-54",119,1,"AZ","2020-07-03"
"55-64",244,3,"AZ","2020-07-03"
"65+",1314,23,"AZ","2020-07-03"
"0-19",8,0,"AZ","2020-07-04"
"20-44",107,4,"AZ","2020-07-04"
"45-54",122,3,"AZ","2020-07-04"
"55-64",248,4,"AZ","2020-07-04"
"65+",1320,6,"AZ","2020-07-04"
"0-19",8,0,"AZ","2020-07-05"
"20-44",108,1,"AZ","2020-07-05"
"45-54",122,0,"AZ","2020-07-05"
"55-64",250,2,"AZ","2020-07-05"
"65+",1321,1,"AZ","2020-07-05"
"0-19",8,0,"AZ","2020-07-06"
"20-44",108,0,"AZ","2020-07-06"
"45-54",122,0,"AZ","2020-07-06"
"55-64",250,0,"AZ","2020-07-06"
"65+",1322,1,"AZ","2020-07-06"
"0-19",8,0,"AZ","2020-07-07"
"20-44",110,2,"AZ","2020-07-07"
"45-54",129,7,"AZ","2020-07-07"
"55-64",269,19,"AZ","2020-07-07"
"65+",1411,89,"AZ","2020-07-07"
"0-19",8,0,"AZ","2020-07-08"
"20-44",111,1,"AZ","2020-07-08"
"45-54",130,1,"AZ","2020-07-08"
"55-64",273,4,"AZ","2020-07-08"
"65+",1441,30,"AZ","2020-07-08"
"0-19",8,0,"AZ","2020-07-09"
"20-44",111,0,"AZ","2020-07-09"
"45-54",138,8,"AZ","2020-07-09"
"55-64",279,6,"AZ","2020-07-09"
"65+",1502,61,"AZ","2020-07-09"
"0-19",8,0,"AZ","2020-07-10"
"20-44",114,3,"AZ","2020-07-10"
"45-54",139,1,"AZ","2020-07-10"
"55-64",287,8,"AZ","2020-07-10"
"65+",1534,32,"AZ","2020-07-10"
"0-19",8,0,"AZ","2020-07-11"
"20-44",120,6,"AZ","2020-07-11"
"45-54",141,2,"AZ","2020-07-11"
"55-64",296,9,"AZ","2020-07-11"
"65+",1586,52,"AZ","2020-07-11"
"0-19",8,0,"AZ","2020-07-12"
"20-44",125,5,"AZ","2020-07-12"
"45-54",147,6,"AZ","2020-07-12"
"55-64",312,16,"AZ","2020-07-12"
"65+",1645,59,"AZ","2020-07-12"
"0-19",8,0,"AZ","2020-07-13"
"20-44",128,3,"AZ","2020-07-13"
"45-54",147,0,"AZ","2020-07-13"
"55-64",312,0,"AZ","2020-07-13"
"65+",1650,5,"AZ","2020-07-13"
"0-19",9,1,"AZ","2020-07-14"
"20-44",135,7,"AZ","2020-07-14"
"45-54",155,8,"AZ","2020-07-14"
"55-64",327,15,"AZ","2020-07-14"
"65+",1711,61,"AZ","2020-07-14"
"0-19",9,0,"AZ","2020-07-15"
"20-44",143,8,"AZ","2020-07-15"
"45-54",164,9,"AZ","2020-07-15"
"55-64",341,14,"AZ","2020-07-15"
"65+",1777,66,"AZ","2020-07-15"
"0-19",9,0,"AZ","2020-07-16"
"20-44",148,5,"AZ","2020-07-16"
"45-54",168,4,"AZ","2020-07-16"
"55-64",350,9,"AZ","2020-07-16"
"65+",1817,40,"AZ","2020-07-16"
"0-19",9,0,"AZ","2020-07-17"
"20-44",153,5,"AZ","2020-07-17"
"45-54",177,9,"AZ","2020-07-17"
"55-64",366,16,"AZ","2020-07-17"
"65+",1877,60,"AZ","2020-07-17"
"0-19",9,0,"AZ","2020-07-18"
"20-44",161,8,"AZ","2020-07-18"
"45-54",183,6,"AZ","2020-07-18"
"55-64",384,18,"AZ","2020-07-18"
"65+",1992,115,"AZ","2020-07-18"
"0-19",9,0,"AZ","2020-07-19"
"20-44",164,3,"AZ","2020-07-19"
"45-54",184,1,"AZ","2020-07-19"
"55-64",390,6,"AZ","2020-07-19"
"65+",2013,21,"AZ","2020-07-19"
"0-19",9,0,"AZ","2020-07-20"
"20-44",166,2,"AZ","2020-07-20"
"45-54",187,3,"AZ","2020-07-20"
"55-64",395,5,"AZ","2020-07-20"
"65+",2026,13,"AZ","2020-07-20"
"0-19",9,0,"AZ","2020-07-21"
"20-44",172,6,"AZ","2020-07-21"
"45-54",194,7,"AZ","2020-07-21"
"55-64",420,25,"AZ","2020-07-21"
"65+",2121,95,"AZ","2020-07-21"
"0-19",9,0,"AZ","2020-07-22"
"20-44",173,1,"AZ","2020-07-22"
"45-54",200,6,"AZ","2020-07-22"
"55-64",430,10,"AZ","2020-07-22"
"65+",2161,40,"AZ","2020-07-22"
"0-19",9,0,"AZ","2020-07-23"
"20-44",177,4,"AZ","2020-07-23"
"45-54",207,7,"AZ","2020-07-23"
"55-64",441,11,"AZ","2020-07-23"
"65+",2227,66,"AZ","2020-07-23"
"0-19",9,0,"AZ","2020-07-24"
"20-44",183,6,"AZ","2020-07-24"
"45-54",211,4,"AZ","2020-07-24"
"55-64",452,11,"AZ","2020-07-24"
"65+",2285,58,"AZ","2020-07-24"
"0-19",9,0,"AZ","2020-07-25"
"20-44",191,8,"AZ","2020-07-25"
"45-54",222,11,"AZ","2020-07-25"
"55-64",474,22,"AZ","2020-07-25"
"65+",2388,103,"AZ","2020-07-25"
"0-19",9,0,"AZ","2020-07-26"
"20-44",192,1,"AZ","2020-07-26"
"45-54",223,1,"AZ","2020-07-26"
"55-64",476,2,"AZ","2020-07-26"
"65+",2400,12,"AZ","2020-07-26"
"0-19",9,0,"AZ","2020-07-27"
"20-44",192,0,"AZ","2020-07-27"
"45-54",223,0,"AZ","2020-07-27"
"55-64",476,0,"AZ","2020-07-27"
"65+",2402,2,"AZ","2020-07-27"
"0-19",9,0,"AZ","2020-07-28"
"20-44",200,8,"AZ","2020-07-28"
"45-54",230,7,"AZ","2020-07-28"
"55-64",500,24,"AZ","2020-07-28"
"65+",2467,65,"AZ","2020-07-28"
"0-19",9,0,"AZ","2020-07-29"
"20-44",204,4,"AZ","2020-07-29"
"45-54",235,5,"AZ","2020-07-29"
"55-64",505,5,"AZ","2020-07-29"
"65+",2498,31,"AZ","2020-07-29"
"0-19",9,0,"AZ","2020-07-30"
"20-44",214,10,"AZ","2020-07-30"
"45-54",247,12,"AZ","2020-07-30"
"55-64",539,34,"AZ","2020-07-30"
"65+",2614,116,"AZ","2020-07-30"
"0-19",9,0,"AZ","2020-07-31"
"20-44",216,2,"AZ","2020-07-31"
"45-54",254,7,"AZ","2020-07-31"
"55-64",548,9,"AZ","2020-07-31"
"65+",2664,50,"AZ","2020-07-31"
"0-19",9,0,"AZ","2020-08-01"
